basename,nonzero_mean_canonical,full_path
RNA_Cardiac_progenitors_plus_100M.bw,0.83230245,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig/RNA_Cardiac_progenitors_plus_100M.bw
RNA_Early_fibroblasts_plus_100M.bw,1.4535066,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig/RNA_Early_fibroblasts_plus_100M.bw
RNA_Early_cardiomyocytes_minus_100M.bw,0.8331339,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig/RNA_Early_cardiomyocytes_minus_100M.bw
K4Day2_100M_norm.bw,7.4132524,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/K4Day2_100M_norm.bw
K4Day5_100M_norm.bw,25.890795,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/K4Day5_100M_norm.bw
cutntag_4Day5_100M_norm.bw,29.044384,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/cutntag_4Day5_100M_norm.bw
K27acDay1_100M_norm.bw,22.309845,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/K27acDay1_100M_norm.bw
K4Day6_100M_norm.bw,19.899712,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/K4Day6_100M_norm.bw
K27acDay5_100M_norm.bw,15.284166,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/K27acDay5_100M_norm.bw
cutntag_4Day2_100M_norm.bw,7.8621163,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/cutntag_4Day2_100M_norm.bw
cutntag_4Day1_100M_norm.bw,5.45264,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/cutntag_4Day1_100M_norm.bw
K4Day1_100M_norm.bw,5.3275776,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/CutnTag_bigwig/K4Day1_100M_norm.bw
ATAC_Endothelial_cells_100M_norm.bw,3.613191,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Endothelial_cells_100M_norm.bw
ATAC_Cardiac_progenitors_100M_norm.bw,0.4333385,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Cardiac_progenitors_100M_norm.bw
ATAC_Fibroblasts_100M_norm.bw,0.52873385,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Fibroblasts_100M_norm.bw
ATAC_Ectoderm_100M_norm.bw,3.8712378,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Ectoderm_100M_norm.bw
ATAC_Cardiomyocytes_100M_norm.bw,0.3054305,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Cardiomyocytes_100M_norm.bw
ATAC_Endoderm_100M_norm.bw,0.9302854,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Endoderm_100M_norm.bw
ATAC_Cardiac_mesoderm_100M_norm.bw,0.93288416,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_ATAC_bigwig_deduplicated/ATAC_Cardiac_mesoderm_100M_norm.bw
RNA_Fibroblasts_plus_100M.bw,1.5566638,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Fibroblasts_plus_100M.bw
RNA_Cardiac_progenitors_plus_100M.bw,0.9643689,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Cardiac_progenitors_plus_100M.bw
RNA_Cardiomyocytes_minus_100M.bw,0.7633203,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Cardiomyocytes_minus_100M.bw
RNA_Endoderm_plus_100M.bw,2.7121217,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Endoderm_plus_100M.bw
RNA_Fibroblasts_minus_100M.bw,1.5314791,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Fibroblasts_minus_100M.bw
RNA_Cardiomyocytes_plus_100M.bw,0.8028742,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Cardiomyocytes_plus_100M.bw
RNA_Cardiac_mesoderm_plus_100M.bw,5.266643,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Cardiac_mesoderm_plus_100M.bw
RNA_Cardiac_mesoderm_minus_100M.bw,5.2090526,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Cardiac_mesoderm_minus_100M.bw
RNA_Ectoderm_plus_100M.bw,14.66229,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Ectoderm_plus_100M.bw
RNA_Endoderm_minus_100M.bw,2.6744952,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Endoderm_minus_100M.bw
RNA_Endothelial_cells_plus_100M.bw,10.748386,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Endothelial_cells_plus_100M.bw
RNA_Ectoderm_minus_100M.bw,14.435229,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Ectoderm_minus_100M.bw
RNA_Endothelial_cells_minus_100M.bw,10.590535,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Endothelial_cells_minus_100M.bw
RNA_Cardiac_progenitors_minus_100M.bw,0.94453996,/g/steinmetz/projects/variant2function_project/data/processed/seq2fun_train_input_baseres/multiome_RNA_3prime_bigwig_deduplicated/RNA_Cardiac_progenitors_minus_100M.bw
